Current Designation,Department Affiliation,Years of Service,Specialization Areas,Academic Qualifications,Patent Count,Publication Records (Journals),Publication Records (Conferences),Research Project Involvement,Citation Metrics,Core Courses Count (CS),Electives Count (CS),Lab Courses Count (CS),Student Count per Course (CS),Interdisciplinary Courses (Non-CS),Foundation Courses (Non-CS),Student Count per Course (Non-CS),Subject Knowledge (1-10),Teaching Methodology (1-10),Communication Clarity (1-10),Student Engagement (1-10),Doubt Resolution (1-10),Semester-wise Performance Trends (1-10),Implementation of Previous Feedback (1-10),Teaching Innovation Metrics (1-10),Student Success Rates (1-10),Course Completion Effectiveness (1-10),New Designation,Future Designation
2,6,9,1,1,7,14,15,14,1005,5,3,4,40,0,1,79,2,6,1,8,1,8,7,4,2,6,0,3
0,4,25,5,1,1,47,3,8,8197,2,3,1,74,3,5,115,1,9,3,6,8,2,3,1,3,4,0,1
0,9,30,2,0,6,15,31,17,6799,5,0,5,107,1,1,93,9,1,5,2,6,4,1,2,5,1,0,1
2,7,17,4,2,10,30,18,14,6663,2,0,3,107,2,1,133,4,5,2,6,8,10,1,9,3,2,0,0
0,0,2,0,0,3,11,19,6,8762,5,3,5,48,0,4,105,7,4,1,10,3,2,5,9,3,2,0,2
1,1,26,2,2,1,24,7,9,2165,5,0,5,20,0,4,65,4,5,2,5,8,9,10,7,7,2,0,1
0,7,6,1,1,9,43,30,17,7350,3,1,5,59,0,0,31,9,10,5,3,7,9,6,2,9,2,0,3
1,0,17,4,2,6,1,4,1,5770,4,1,2,102,1,1,62,1,4,2,6,1,3,9,4,7,5,0,0
2,0,27,4,3,6,38,17,10,6830,2,0,4,107,3,2,92,9,3,3,2,7,1,1,9,8,5,2,1
0,9,29,5,0,7,18,27,13,8871,3,0,4,34,1,0,100,4,9,1,3,9,8,5,8,8,1,0,1
1,3,20,1,0,8,16,33,13,408,1,1,4,125,3,3,72,8,10,5,10,5,4,3,8,4,5,0,4
1,4,30,4,0,3,43,14,17,7548,1,3,3,41,3,3,83,5,4,1,8,2,5,5,8,3,3,0,1
0,3,4,4,0,1,50,0,1,1828,4,3,1,58,3,3,128,4,8,7,9,7,3,10,7,5,5,0,2
1,3,6,2,1,9,3,2,13,7469,5,3,1,143,3,0,30,2,1,2,7,7,7,3,9,5,8,0,3
2,8,15,2,2,5,19,3,0,7249,5,0,2,96,1,0,81,7,7,1,9,8,9,9,8,5,2,0,0
2,8,10,2,1,2,5,26,9,8358,3,2,4,92,3,1,99,10,1,1,7,4,5,5,6,5,8,1,5
0,6,26,2,2,2,20,11,15,198,4,1,1,85,0,2,83,7,6,5,10,5,8,8,9,3,3,0,1
2,6,22,5,2,1,50,30,15,7348,4,2,3,125,3,1,120,7,9,10,4,2,6,4,8,5,1,0,4
2,2,18,5,1,6,43,41,1,8122,1,0,1,98,3,0,41,8,5,6,8,6,4,4,2,5,2,0,0
0,5,24,1,0,4,10,30,2,8915,5,0,3,126,2,3,125,7,2,10,3,1,5,4,5,3,6,0,4
2,6,16,2,2,3,30,26,17,4986,5,0,5,29,1,5,140,2,9,1,10,7,9,5,3,10,9,0,0
2,2,17,3,1,7,29,8,17,4624,4,0,5,89,3,1,115,2,2,6,1,10,10,10,7,2,2,0,0
2,1,15,1,3,4,25,36,9,4434,3,3,5,34,1,4,97,10,2,10,9,2,10,3,7,7,6,2,0
1,7,16,3,2,4,45,1,5,1445,1,0,3,25,2,2,61,8,6,10,5,3,2,10,10,2,2,0,0
0,6,27,5,2,0,38,37,6,524,2,3,3,115,0,0,128,4,1,8,8,7,7,10,4,9,8,0,1
1,2,23,5,2,2,39,42,3,9715,1,2,1,45,0,4,59,4,9,10,4,10,9,2,10,9,9,0,4
2,1,2,0,2,9,1,3,0,4974,3,1,2,144,3,4,61,4,1,1,4,5,3,4,9,10,2,0,2
0,8,11,3,3,5,22,30,11,1195,2,2,5,29,3,4,144,2,10,8,4,6,1,9,7,7,6,0,5
2,8,30,1,2,5,36,3,12,5910,3,3,4,102,3,1,92,5,5,7,5,3,5,9,10,2,2,0,1
0,5,27,4,1,1,4,39,6,9567,5,0,3,69,1,0,91,2,4,7,3,9,1,8,7,4,1,0,1
0,7,18,5,3,1,18,3,14,611,5,3,5,121,2,1,77,1,10,4,8,9,1,3,2,4,8,2,0
0,7,25,5,1,1,47,3,8,8197,2,3,1,74,3,5,115,1,9,3,6,8,2,3,1,3,4,0,1
2,2,29,1,1,10,21,25,19,6414,5,2,4,116,0,0,42,4,8,8,5,7,10,1,10,4,5,0,1
1,8,13,2,3,5,4,40,7,9250,3,0,3,89,0,5,135,4,1,9,9,5,1,8,4,4,8,0,5
0,7,7,1,1,1,41,4,0,3317,4,3,3,75,3,3,27,5,6,5,1,9,7,5,10,10,8,0,3
2,3,9,5,0,5,15,35,11,5899,5,1,5,45,0,1,69,3,3,9,5,4,10,5,10,5,7,0,3
2,4,18,5,1,6,43,41,1,8122,1,0,1,98,3,0,41,8,5,6,8,6,4,4,2,5,2,0,0
0,8,21,1,2,9,46,19,12,3975,2,2,3,65,3,1,146,6,10,9,2,8,8,5,10,9,1,0,4
1,2,18,0,1,5,22,37,12,2806,5,1,4,81,2,1,84,1,3,6,10,7,1,6,6,4,8,0,0
2,2,18,5,1,6,43,41,1,8122,1,0,1,98,3,0,41,8,5,6,8,6,4,4,2,5,2,0,0
2,9,5,3,2,3,18,40,20,8859,5,2,1,56,2,4,118,9,8,6,7,1,6,10,5,5,1,0,3
1,7,14,4,0,2,22,6,15,2081,1,1,2,48,0,2,44,2,1,1,3,5,7,3,5,6,2,0,5
1,8,10,2,3,9,0,28,15,1469,5,0,3,109,1,4,40,7,1,8,3,2,2,6,1,3,4,0,5
1,4,25,3,2,6,47,49,15,6087,4,3,1,34,0,4,141,3,7,10,3,7,10,6,7,6,5,0,1
1,4,21,5,1,10,41,9,20,9079,5,3,3,44,2,2,126,2,5,10,3,3,3,6,3,4,3,0,4
0,7,12,3,3,2,5,32,5,1023,4,2,5,137,0,2,33,6,6,1,3,1,5,10,8,2,10,0,5
2,0,30,4,2,9,50,46,3,8501,1,2,3,101,3,2,57,6,7,6,8,2,6,4,5,10,5,0,1
2,3,26,2,0,4,28,12,0,2041,4,0,5,57,1,1,23,4,6,10,7,6,4,4,1,9,6,0,1
1,1,21,3,0,2,38,3,19,5651,4,3,2,147,0,1,77,1,10,1,8,4,1,2,6,9,2,0,4
0,3,22,4,2,5,16,23,17,500,2,1,1,111,3,2,123,4,10,1,4,10,8,8,8,6,8,0,4
0,9,16,0,3,4,32,15,10,8643,4,0,3,138,1,0,67,8,4,6,6,6,5,1,6,7,8,2,0
0,0,11,0,0,6,39,33,12,6617,5,2,5,24,0,1,72,3,5,4,10,4,9,6,3,5,7,0,5
1,3,3,0,2,7,3,0,1,6860,5,2,2,55,1,4,57,1,8,8,10,9,6,8,1,10,9,0,2
0,8,30,2,1,0,26,23,18,4611,5,2,4,60,0,4,80,2,5,3,5,3,6,2,4,4,7,0,1
2,1,12,5,3,9,10,25,17,1003,4,2,2,102,2,0,32,5,5,10,5,6,3,5,2,10,1,0,5
0,6,2,0,3,8,48,15,3,701,5,2,2,58,2,3,123,1,2,8,3,9,9,9,3,5,6,0,2
1,9,6,2,1,8,21,1,6,3064,3,1,2,54,0,1,58,1,8,9,4,6,4,7,2,8,1,0,3
1,0,26,3,3,8,44,46,10,3264,2,3,2,107,2,2,89,9,6,2,9,1,4,9,2,2,9,2,1
0,5,1,2,2,6,1,33,8,2515,1,0,3,80,0,3,79,2,7,4,9,7,5,4,1,6,1,0,2
1,3,20,0,1,7,43,13,12,3253,1,2,1,86,3,1,68,7,6,10,2,1,10,1,5,5,1,0,4
0,6,25,5,1,6,24,31,9,5504,5,1,2,129,0,3,99,5,8,9,8,4,2,3,8,4,9,0,1
0,2,30,5,2,6,44,48,15,9172,2,2,2,110,1,1,68,7,6,4,7,2,8,9,5,6,8,0,1
2,1,20,3,2,4,16,10,11,4672,3,1,2,39,3,5,113,10,10,2,4,5,1,2,5,7,7,0,4
2,3,7,1,1,6,42,47,3,8955,2,1,5,30,3,1,123,7,1,6,8,5,1,10,4,8,10,0,3
0,0,27,1,2,8,12,44,8,6999,2,1,5,34,0,2,127,4,1,2,1,5,6,3,10,9,9,0,1
1,4,4,4,2,9,22,35,20,9589,3,3,3,58,2,3,55,1,9,7,7,8,7,4,4,1,6,0,2
1,5,1,3,0,0,19,28,6,4153,4,1,2,111,1,5,34,3,1,5,5,6,9,4,10,3,10,0,2
1,7,18,1,1,10,48,44,18,832,4,2,1,70,0,4,106,2,8,6,1,8,4,5,3,5,10,0,0
2,1,16,2,2,3,30,26,17,4986,5,0,5,29,1,5,140,2,9,1,10,7,9,5,3,10,9,0,0
0,8,3,4,0,4,20,35,20,3040,5,3,1,125,3,0,82,5,4,6,9,9,3,10,1,6,5,0,2
2,2,14,5,0,9,44,35,10,6766,2,2,3,29,2,3,130,10,7,4,7,8,8,9,1,9,3,0,5
2,9,19,0,3,7,12,15,0,6079,1,3,3,133,1,2,122,8,10,8,7,4,8,2,5,6,1,2,0
0,9,7,3,3,9,40,31,11,5903,5,3,2,148,1,0,117,1,7,10,9,1,8,10,9,4,10,0,3
0,2,4,4,0,1,50,0,1,1828,4,3,1,58,3,3,128,4,8,7,9,7,3,10,7,5,5,0,2
0,0,16,2,0,2,38,6,10,6903,3,0,2,69,1,2,81,9,2,6,10,6,8,5,10,8,2,0,0
1,5,17,1,1,8,18,29,15,1693,2,3,5,39,3,3,20,6,3,3,3,4,7,9,3,6,7,0,0
0,7,14,0,3,10,16,9,2,3254,4,1,1,78,2,1,23,8,1,10,6,9,1,1,10,2,7,0,5
1,0,18,1,1,9,14,31,15,2011,3,1,4,128,0,1,91,2,3,9,6,10,4,5,2,3,9,0,0
0,9,9,0,3,6,46,23,10,8694,3,3,4,94,3,1,116,7,1,1,10,5,10,6,2,5,10,0,3
2,5,21,5,0,7,38,31,3,7998,1,3,4,34,1,0,54,3,3,2,8,10,8,6,4,7,5,0,4
1,1,22,0,1,4,45,37,4,8385,1,2,2,60,0,4,28,3,9,3,7,8,9,3,2,8,5,0,4
1,0,25,3,2,6,47,49,15,6087,4,3,1,34,0,4,141,3,7,10,3,7,10,6,7,6,5,0,1
0,0,9,3,0,10,42,31,1,6018,5,0,1,59,0,0,75,5,5,6,4,3,2,10,8,5,1,0,3
1,0,17,2,0,0,34,41,5,8923,4,3,1,118,2,2,120,7,5,8,10,4,10,7,10,10,7,0,0
1,7,22,4,0,5,24,31,1,3429,5,2,4,119,2,0,73,9,10,1,4,4,9,3,3,8,10,0,4
0,3,24,1,0,4,10,30,2,8915,5,0,3,126,2,3,125,7,2,10,3,1,5,4,5,3,6,0,4
0,5,26,2,2,2,20,11,15,198,4,1,1,85,0,2,83,7,6,5,10,5,8,8,9,3,3,0,1
2,5,21,4,3,5,36,10,1,462,5,0,4,62,1,4,64,10,1,9,3,9,4,6,3,3,1,2,4
0,4,26,2,2,2,20,11,15,198,4,1,1,85,0,2,83,7,6,5,10,5,8,8,9,3,3,0,1
1,0,15,3,1,6,25,14,6,9696,5,0,5,34,3,5,66,5,8,7,2,5,3,8,10,10,2,0,0
1,3,21,3,0,2,38,3,19,5651,4,3,2,147,0,1,77,1,10,1,8,4,1,2,6,9,2,0,4
2,0,24,2,2,1,34,40,3,6235,1,2,2,125,0,4,95,6,5,5,7,5,5,7,2,3,6,0,4
1,3,15,2,1,7,16,0,7,5729,3,1,4,85,3,3,74,10,1,7,3,3,8,2,9,2,6,0,0
1,8,7,3,2,6,46,39,10,5470,5,0,1,32,1,1,61,8,6,10,8,5,4,1,8,6,3,0,3
0,1,27,3,3,10,46,36,17,7446,1,0,5,73,0,3,86,5,2,4,3,10,8,9,8,8,2,2,1
2,0,14,1,1,10,1,12,19,7934,2,0,2,95,0,5,38,5,5,4,2,8,5,4,3,8,3,1,5
1,7,3,5,2,5,8,44,17,8456,3,2,2,34,0,0,145,1,6,9,6,7,10,10,1,9,3,0,2
1,2,16,3,2,4,45,1,5,1445,1,0,3,25,2,2,61,8,6,10,5,3,2,10,10,2,2,0,0
1,9,15,3,1,6,25,14,6,9696,5,0,5,34,3,5,66,5,8,7,2,5,3,8,10,10,2,0,0
0,4,21,1,2,10,48,4,0,5583,4,0,3,96,2,4,112,6,10,4,5,4,6,9,3,4,9,0,4
2,3,5,1,3,8,7,12,8,2728,4,1,4,93,2,0,40,2,9,5,4,1,4,2,4,10,10,0,3
2,4,25,5,0,5,46,29,17,3632,1,0,2,30,3,0,96,2,1,10,9,4,2,1,10,7,5,0,1
0,7,7,0,1,6,38,26,4,382,3,2,1,70,0,1,52,2,5,6,5,9,5,1,7,5,4,0,3
2,2,11,4,3,9,27,25,13,1485,3,0,3,79,3,4,61,9,10,5,2,8,1,6,5,7,6,0,5
0,6,6,3,0,9,28,23,19,4269,5,3,2,110,1,1,93,1,7,5,4,3,9,2,10,2,10,0,3
0,5,2,0,0,3,11,19,6,8762,5,3,5,48,0,4,105,7,4,1,10,3,2,5,9,3,2,0,2
1,8,17,0,0,8,46,3,20,299,5,0,4,25,2,1,75,8,10,10,7,5,4,7,2,6,1,0,0
1,0,5,4,0,2,18,37,10,5058,1,2,4,81,1,1,24,3,10,2,3,4,6,3,9,5,7,0,3
2,4,25,3,3,5,13,46,5,6241,1,3,2,143,3,0,129,2,1,4,9,8,8,9,1,6,2,2,1
1,0,20,0,1,0,6,23,1,4373,4,0,1,74,0,4,83,2,10,7,4,3,7,2,6,4,7,0,4
2,0,22,2,2,7,26,34,5,2937,3,1,3,140,3,3,72,8,10,5,7,10,8,5,7,5,8,0,4
2,9,11,4,3,9,27,25,13,1485,3,0,3,79,3,4,61,9,10,5,2,8,1,6,5,7,6,0,5
1,0,3,0,2,7,17,40,0,3997,3,3,3,33,3,1,95,3,6,4,5,6,7,1,10,10,6,0,2
2,9,20,0,2,9,42,20,2,60,2,2,4,106,3,1,78,1,10,2,8,4,8,1,9,1,7,0,4
2,9,25,0,0,0,49,41,8,1313,3,0,4,45,2,3,139,1,7,10,1,5,1,5,8,7,5,0,1
1,5,17,4,1,4,34,6,2,5119,5,0,5,31,2,2,65,5,6,9,5,3,1,9,1,7,3,0,0
1,3,13,2,3,5,4,40,7,9250,3,0,3,89,0,5,135,4,1,9,9,5,1,8,4,4,8,0,5
1,5,10,1,1,1,50,10,20,8845,1,3,4,68,0,1,131,10,3,2,10,10,9,1,4,4,4,1,5
0,3,29,5,0,7,18,27,13,8871,3,0,4,34,1,0,100,4,9,1,3,9,8,5,8,8,1,0,1
0,4,21,1,2,10,48,4,0,5583,4,0,3,96,2,4,112,6,10,4,5,4,6,9,3,4,9,0,4
1,8,22,4,0,6,34,33,13,2867,5,0,2,25,0,1,21,7,1,1,7,4,4,1,2,5,10,0,4
0,4,11,4,3,10,30,6,5,6145,5,2,3,74,0,5,29,1,8,4,2,9,10,2,8,9,8,0,5
0,8,27,1,2,8,12,44,8,6999,2,1,5,34,0,2,127,4,1,2,1,5,6,3,10,9,9,0,1
1,5,17,4,2,6,1,4,1,5770,4,1,2,102,1,1,62,1,4,2,6,1,3,9,4,7,5,0,0
1,4,30,5,3,4,49,32,10,3422,3,3,5,89,1,2,61,5,10,3,6,3,9,3,9,5,6,2,1
0,4,30,0,1,6,22,41,10,5956,2,0,2,111,2,1,43,6,2,2,8,9,3,3,2,7,10,0,1
0,3,9,1,0,9,28,37,7,7665,5,0,2,29,2,5,107,5,6,1,6,3,3,6,4,1,10,0,3
2,7,11,0,2,4,38,8,8,7645,2,3,1,59,0,3,82,4,4,5,9,10,6,2,8,1,8,1,5
0,8,9,3,0,10,42,31,1,6018,5,0,1,59,0,0,75,5,5,6,4,3,2,10,8,5,1,0,3
0,0,18,5,3,1,18,3,14,611,5,3,5,121,2,1,77,1,10,4,8,9,1,3,2,4,8,2,0
0,1,1,5,1,0,24,2,5,888,4,2,2,142,3,4,50,6,4,9,2,4,2,7,4,2,7,0,2
1,4,3,4,2,5,22,38,17,7827,2,0,5,92,0,4,24,5,1,6,6,8,1,1,1,10,10,0,2
0,6,3,4,0,0,22,48,5,1209,5,0,3,126,0,1,47,9,1,10,7,7,4,10,1,4,6,0,2
1,6,17,0,2,7,22,18,5,3829,5,3,5,98,1,5,141,9,2,1,3,2,1,3,3,2,7,0,0
2,1,24,5,0,5,0,44,7,8459,2,2,4,117,2,1,135,10,6,7,9,10,9,8,5,4,3,0,4
2,3,30,1,2,5,36,3,12,5910,3,3,4,102,3,1,92,5,5,7,5,3,5,9,10,2,2,0,1
0,0,20,2,1,10,50,21,17,7488,3,3,4,43,0,0,56,8,5,10,10,2,10,1,8,5,1,0,4
0,2,28,5,2,9,48,50,7,8100,1,0,4,100,3,3,118,9,5,3,8,3,1,5,3,1,1,0,1
2,7,24,2,2,1,34,40,3,6235,1,2,2,125,0,4,95,6,5,5,7,5,5,7,2,3,6,0,4
2,3,1,3,2,9,38,20,14,5978,1,1,3,67,3,5,20,3,7,4,3,7,3,9,1,4,4,0,2
2,2,8,0,0,0,22,7,7,3453,2,3,4,46,0,4,66,6,8,8,7,2,6,1,10,8,9,0,3
2,4,12,1,0,2,50,5,7,5833,1,1,4,83,0,5,133,6,6,10,7,9,6,2,1,9,3,0,5
0,1,15,0,2,3,37,18,4,4071,2,0,2,52,3,4,53,7,1,8,6,2,10,4,2,3,5,0,0
1,4,23,2,2,0,20,25,8,6151,2,1,1,105,0,3,145,2,2,4,5,7,1,3,7,9,5,0,4
2,9,28,0,2,5,43,15,11,1379,2,3,3,86,3,1,61,3,4,5,10,3,7,6,8,3,9,0,1
2,4,8,5,0,1,18,45,4,7721,5,0,5,56,1,4,59,1,7,4,3,8,9,3,5,6,6,0,3
0,6,12,3,3,2,5,32,5,1023,4,2,5,137,0,2,33,6,6,1,3,1,5,10,8,2,10,0,5
2,4,15,5,2,9,42,49,17,4266,2,2,1,138,2,4,28,4,9,6,6,9,8,7,6,4,10,0,0
0,1,29,2,1,6,7,12,9,6424,4,1,1,111,3,1,149,1,6,6,5,9,6,1,8,9,9,0,1
0,7,20,0,2,2,23,49,15,852,2,3,4,107,2,3,75,6,1,4,7,3,6,2,7,7,1,0,4
1,6,29,3,2,1,31,34,12,7044,2,1,2,23,3,2,25,4,5,10,7,9,5,7,3,10,4,0,1
0,5,26,2,0,9,46,34,20,8738,5,3,4,139,0,0,110,7,6,3,4,1,4,9,10,9,9,0,1
2,2,22,1,1,5,5,10,3,553,4,0,2,147,3,4,79,3,8,4,6,1,5,4,8,1,9,0,4
1,0,9,3,1,5,0,26,3,4216,1,0,5,137,0,5,71,3,5,1,8,10,5,9,1,1,8,0,3
0,4,2,0,3,10,35,42,18,7572,2,3,1,81,3,0,79,9,5,3,3,10,10,9,1,2,8,0,2
1,8,6,2,3,8,50,15,6,1259,1,2,5,23,0,5,135,8,8,1,8,9,1,2,5,2,2,0,3
1,4,27,4,0,3,44,13,8,4078,5,3,3,73,0,1,20,6,5,8,8,9,9,7,7,9,2,0,1
0,7,18,4,3,7,16,12,5,1230,1,3,1,33,2,5,118,9,4,10,6,2,7,2,2,3,6,2,0
0,9,23,1,0,7,8,13,2,6011,2,2,1,80,0,2,56,8,8,3,1,5,6,4,5,9,5,0,4
1,6,19,5,0,6,5,33,1,9389,2,1,5,38,0,2,96,7,1,7,9,4,5,3,8,3,2,0,0
1,9,10,0,3,10,24,47,2,4987,4,2,2,72,2,5,141,8,2,2,10,4,6,8,7,3,10,0,5
0,4,8,1,0,9,8,35,5,9751,3,1,5,36,2,4,39,1,8,5,2,5,2,8,7,9,4,0,3
1,3,27,4,0,3,44,13,8,4078,5,3,3,73,0,1,20,6,5,8,8,9,9,7,7,9,2,0,1
2,6,6,0,1,0,19,12,15,1260,1,0,2,76,3,0,69,4,2,4,5,3,6,7,9,10,7,0,3
0,3,27,5,2,0,38,37,6,524,2,3,3,115,0,0,128,4,1,8,8,7,7,10,4,9,8,0,1
0,7,17,5,3,3,49,6,0,5682,1,1,4,60,1,4,62,3,4,10,6,1,1,2,6,10,10,2,0
0,1,12,1,3,3,7,17,17,6466,3,3,4,52,0,3,135,7,8,9,5,9,7,3,3,8,2,0,5
1,1,10,4,2,7,3,19,9,2876,1,3,4,141,2,2,88,1,3,2,7,1,7,5,1,1,6,1,5
2,5,13,1,2,2,14,12,15,252,4,1,1,45,0,0,46,5,1,9,1,3,4,4,3,6,6,1,5
1,4,20,0,1,7,43,13,12,3253,1,2,1,86,3,1,68,7,6,10,2,1,10,1,5,5,1,0,4
2,2,30,4,2,9,50,46,3,8501,1,2,3,101,3,2,57,6,7,6,8,2,6,4,5,10,5,0,1
0,5,2,0,0,3,11,19,6,8762,5,3,5,48,0,4,105,7,4,1,10,3,2,5,9,3,2,0,2
2,7,8,5,0,1,18,45,4,7721,5,0,5,56,1,4,59,1,7,4,3,8,9,3,5,6,6,0,3
0,9,29,5,0,7,18,27,13,8871,3,0,4,34,1,0,100,4,9,1,3,9,8,5,8,8,1,0,1
2,5,10,2,1,2,5,26,9,8358,3,2,4,92,3,1,99,10,1,1,7,4,5,5,6,5,8,1,5
1,2,19,1,1,4,13,2,8,8846,5,3,4,90,2,2,100,3,3,7,10,7,4,7,8,9,10,0,0
0,5,2,2,2,3,36,47,1,7136,1,1,1,144,1,5,64,2,3,5,1,2,6,10,10,2,2,0,2
2,0,29,0,3,1,9,23,4,2647,1,2,1,39,1,0,131,1,4,5,10,1,8,5,2,6,3,2,1
2,2,18,5,1,6,43,41,1,8122,1,0,1,98,3,0,41,8,5,6,8,6,4,4,2,5,2,0,0
0,4,28,0,2,8,30,35,0,2664,5,1,4,67,3,2,127,6,3,8,9,8,1,5,2,6,2,0,1
0,5,16,0,1,4,0,6,16,5536,1,1,2,60,3,4,92,6,2,7,10,2,6,2,3,2,6,0,0
2,0,19,4,2,6,7,6,13,7440,4,0,4,112,2,2,126,9,10,10,9,3,9,8,4,4,7,0,0
0,3,24,3,3,1,6,25,16,8110,5,0,2,118,3,0,28,5,3,5,9,2,5,8,10,2,8,2,4
1,4,17,5,2,4,20,40,9,8533,3,3,1,36,0,2,71,8,1,7,1,9,10,9,4,9,1,0,0
1,9,22,4,0,6,34,33,13,2867,5,0,2,25,0,1,21,7,1,1,7,4,4,1,2,5,10,0,4
2,6,21,4,3,1,16,16,3,9915,1,2,4,83,2,3,106,4,2,7,3,2,3,3,8,8,10,2,4
1,9,17,3,0,4,9,22,20,6599,1,1,2,22,3,0,21,7,7,6,2,5,7,7,6,5,1,0,0
0,5,12,2,0,9,27,7,6,6325,3,2,4,77,1,5,29,4,4,3,8,3,6,8,6,2,8,0,5
0,4,30,2,0,6,15,31,17,6799,5,0,5,107,1,1,93,9,1,5,2,6,4,1,2,5,1,0,1
0,7,12,4,3,5,27,38,17,5976,4,0,4,126,1,0,23,10,2,9,2,10,1,7,1,3,2,0,5
1,0,25,3,2,6,21,4,10,9565,3,1,1,49,2,5,86,8,3,2,1,6,1,9,8,10,3,0,1
1,8,20,0,1,0,6,23,1,4373,4,0,1,74,0,4,83,2,10,7,4,3,7,2,6,4,7,0,4
2,5,2,4,3,2,1,11,7,8595,2,2,1,25,1,1,124,9,4,7,7,4,8,1,7,1,5,0,2
2,3,24,2,2,1,34,40,3,6235,1,2,2,125,0,4,95,6,5,5,7,5,5,7,2,3,6,0,4
1,4,9,0,0,2,45,2,5,9283,5,3,3,85,0,1,79,2,6,6,7,3,8,6,6,7,2,0,3
1,2,6,5,0,5,13,30,10,1590,4,2,2,25,3,3,94,2,10,2,7,10,3,4,1,1,2,0,3
0,8,20,3,2,5,43,15,19,1165,3,2,2,68,1,2,29,3,5,7,5,9,5,8,2,2,1,0,4
1,5,9,0,0,2,45,2,5,9283,5,3,3,85,0,1,79,2,6,6,7,3,8,6,6,7,2,0,3
2,9,6,3,0,7,19,13,8,9992,4,1,2,126,0,3,95,10,3,4,2,3,2,3,6,7,6,0,3
2,2,21,5,1,9,24,28,14,192,4,3,2,133,3,3,115,7,8,6,6,1,7,1,4,9,2,0,4
1,5,19,1,1,4,13,2,8,8846,5,3,4,90,2,2,100,3,3,7,10,7,4,7,8,9,10,0,0
1,5,5,5,1,5,8,39,6,9173,5,0,2,46,1,1,92,7,10,7,3,1,2,1,7,3,4,0,3
2,8,19,4,2,6,7,6,13,7440,4,0,4,112,2,2,126,9,10,10,9,3,9,8,4,4,7,0,0
0,4,21,1,2,10,48,4,0,5583,4,0,3,96,2,4,112,6,10,4,5,4,6,9,3,4,9,0,4
0,1,28,5,2,9,48,50,7,8100,1,0,4,100,3,3,118,9,5,3,8,3,1,5,3,1,1,0,1
1,6,17,1,1,8,18,29,15,1693,2,3,5,39,3,3,20,6,3,3,3,4,7,9,3,6,7,0,0
1,1,13,2,3,5,4,40,7,9250,3,0,3,89,0,5,135,4,1,9,9,5,1,8,4,4,8,0,5
2,9,20,3,2,4,48,50,6,8500,1,0,3,76,2,2,134,2,1,10,8,10,1,10,9,5,3,0,4
2,6,18,4,0,10,20,22,13,2140,5,0,1,98,1,0,94,6,4,6,2,1,9,2,9,9,9,0,0
0,0,1,2,2,6,1,33,8,2515,1,0,3,80,0,3,79,2,7,4,9,7,5,4,1,6,1,0,2
2,0,12,2,0,2,1,17,10,6841,4,2,1,103,2,3,86,8,5,9,5,2,3,4,10,7,7,0,5
1,8,30,5,3,4,49,32,10,3422,3,3,5,89,1,2,61,5,10,3,6,3,9,3,9,5,6,2,1
1,1,8,4,0,4,38,18,2,6276,5,3,5,79,0,5,53,6,8,1,7,6,3,7,10,6,10,0,3
1,6,23,5,2,10,34,4,12,293,5,3,2,75,0,2,33,7,10,1,3,8,3,8,9,7,2,0,4
2,4,24,2,2,1,34,40,3,6235,1,2,2,125,0,4,95,6,5,5,7,5,5,7,2,3,6,0,4
0,2,5,1,3,10,41,29,4,7478,4,0,3,133,0,0,101,4,6,9,10,2,5,6,3,5,5,0,3
2,2,23,1,1,9,14,46,12,2443,2,1,2,116,2,0,27,9,8,3,6,5,3,7,8,8,8,0,4
1,2,9,3,1,5,0,26,3,4216,1,0,5,137,0,5,71,3,5,1,8,10,5,9,1,1,8,0,3
0,8,20,2,2,2,47,24,10,6413,2,2,4,34,1,4,81,9,7,2,1,10,6,2,4,10,7,0,4
1,5,5,3,0,2,13,41,8,5533,4,1,1,80,3,3,144,7,9,4,5,3,2,9,5,7,9,0,3
2,2,30,3,0,1,29,3,19,8428,5,3,3,62,0,1,113,2,1,7,8,5,2,7,7,6,9,0,1
2,7,26,5,3,4,40,13,10,6491,3,2,1,119,1,2,124,1,2,9,7,9,6,2,3,9,8,2,1
0,3,25,5,0,1,1,45,3,8075,2,0,3,73,2,3,134,3,5,9,9,3,4,3,8,1,7,0,1
0,6,3,5,2,4,13,2,8,5208,5,3,5,60,0,3,131,2,3,1,6,4,3,10,6,4,1,0,2
1,6,2,4,1,9,13,39,13,2778,5,2,3,78,3,2,51,5,1,1,7,9,7,7,3,5,8,0,2
1,1,22,0,2,3,37,29,10,5973,4,1,2,65,2,4,124,10,8,7,8,3,7,2,5,5,1,0,4
2,4,21,4,2,4,10,29,18,2762,3,1,2,113,0,5,46,6,1,9,1,1,6,9,4,2,8,0,4
2,2,26,1,3,6,28,44,17,4571,5,2,1,130,0,4,59,1,3,8,4,9,8,2,2,3,7,2,1
1,4,25,3,2,6,47,49,15,6087,4,3,1,34,0,4,141,3,7,10,3,7,10,6,7,6,5,0,1
0,2,22,5,0,7,26,6,20,5720,1,0,3,59,2,1,129,3,2,2,5,7,4,8,8,3,7,0,4
0,0,16,5,0,9,31,35,2,1201,2,0,1,63,0,2,56,5,3,8,6,2,9,6,6,6,2,0,0
1,6,9,2,2,3,22,20,1,243,1,3,5,27,2,5,121,3,2,2,1,10,8,2,6,10,8,0,3
